MouthOpenRatio,MouthWideRatio,EyeOpenRatio,EyebrowRatio,Label
0,0.3333333541666667,0.33457924836601305,0.5157679738562091,unsatisfied
2.083333333333333e-08,0.3333333541666667,0.385171568627451,0.45028594771241826,unsatisfied
2.083333333333333e-08,0.3333333541666667,0.6306781045751635,0.60265522875817,unsatisfied
0,0.2291666875,0.4511540032679739,0.5709967320261439,unsatisfied
2.083333333333333e-08,0.3958333541666667,0.44334150326797384,0.703717320261438,satisfied
2.083333333333333e-08,0.3333333541666667,0.2847222222222222,0.5155228758169935,unsatisfied
0,0.3541666875,0.4233149509803922,0.445016339869281,satisfied
0.020833354166666665,0.20833335416666665,0.47255923202614375,0.6768382352941177,satisfied
0,0.1875000208333333,0.27943218954248367,0.4468137254901961,unsatisfied
0.020833354166666665,0.25000002083333334,0.49111519607843135,0.6412581699346405,satisfied
2.083333333333333e-08,0.3333333541666667,0.4108455882352941,0.5588235294117647,unsatisfied
2.083333333333333e-08,0.29166668749999997,0.7653390522875816,0.7071895424836601,unsatisfied
2.083333333333333e-08,0.3958333541666667,0.31264297385620915,0.5604983660130719,unsatisfied
0,0.31250002083333334,0.53328227124183,0.416421568627451,unsatisfied
2.083333333333333e-08,0.3333333541666667,0.4525531045751634,0.5439133986928105,satisfied
2.083333333333333e-08,0.20833335416666665,0.5286662581699347,0.3730392156862745,unsatisfied
2.083333333333333e-08,0.29166668749999997,0.47358047385620916,0.5736519607843137,unsatisfied
0,0.29166668749999997,0.4265420751633987,0.5063725490196078,satisfied
2.083333333333333e-08,0.3333333541666667,0.5320057189542483,0.5791666666666667,unsatisfied
2.083333333333333e-08,0.4583333541666667,0.48043300653594767,0.5533088235294118,satisfied
0,0.30803571874999996,0.6829262955182073,0.6017156862745098,satisfied
0,0.27083335416666665,0.5407475490196079,0.6794934640522875,unsatisfied
2.083333333333333e-08,0.3333333541666667,0.549468954248366,0.5457924836601307,satisfied
2.083333333333333e-08,0.29166668749999997,0.6520629084967321,0.631985294117647,unsatisfied
0.004464290178571429,0.33482143303571427,0.5056700805322129,0.4563112745098039,satisfied
2.083333333333333e-08,0.3958333541666667,0.5193831699346404,0.6567810457516341,unsatisfied
0.020833354166666665,0.37500002083333334,0.4294832516339869,0.7343545751633986,satisfied
0,0.3333333541666667,0.6346915849673204,0.6941584967320261,satisfied
